stc_label	sentence	category
81_libraries_-_2016_wi_	libraries - 2016 wi fi usage	Table
OUT_ind inc avg	ind inc avg	OUT
OUT_shape st ar	shape st ar	OUT
OUT_sam link	sam link	OUT
OUT_librarian parapros	librarian parapros	OUT
OUT_family guide name	family guide name	OUT
OUT_site name	site name	OUT
OUT_subcategory	subcategory	OUT
OUT_five yr ave	five yr ave	OUT
OUT_five yr ave	five yr ave	OUT
OUT_course section	course section	OUT
OUT_city	city	OUT
OUT_city	city	OUT
OUT_town code	town code	OUT
OUT_dsu	dsu	OUT
OUT_college ipeds id	college ipeds id	OUT
OUT_district	district	OUT
OUT_district	district	OUT
OUT_state head start # of funded spaces	state head start # of funded spaces	OUT
OUT_enrollment type description	enrollment type description	OUT
OUT_college or institution name	college or institution name	OUT
OUT_service category	service category	OUT
OUT_rec'd svcs	rec'd svcs	OUT
OUT_school	school	OUT
IN_ytd	ytd	IN
OUT_subject	subject	OUT
OUT_subject	subject	OUT
OUT_new accounts opened in 2013	new accounts opened in 2013	OUT
OUT_scholarship name	scholarship name	OUT
IN_number of sessions	number of sessions	IN
OUT_total open accounts as of 12/31/2013	total open accounts as of 12/31/2013	OUT
OUT_q23 c3 r2	q23 c3 r2	OUT
OUT_number of children in licensed family home	number of children in licensed family home	OUT
OUT_staff completing training	staff completing training	OUT
OUT_kindergarten regular membership	kindergarten regular membership	OUT
OUT_count of students	count of students	OUT
IN_month	month	IN
OUT_count	count	OUT
OUT_school administrators' median salary	school administrators' median salary	OUT
OUT_metric type	metric type	OUT
OUT_college career rate historic avg similar schls	college career rate historic avg similar schls	OUT
OUT_stem graduates ushe	stem graduates ushe	OUT
OUT_total mathematics % goal range	total mathematics % goal range	OUT
OUT_regents exam	regents exam	OUT
OUT_score	score	OUT
OUT_percent self- contained	percent self- contained	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
OUT_mean score	mean score	OUT
OUT_school type	school type	OUT
OUT_graduation rate 2014	graduation rate 2014	OUT
OUT_level 2: #	level 2: #	OUT
OUT_category	category	OUT
OUT_level 2 %	level 2 %	OUT
OUT_mean scale score	mean scale score	OUT
OUT_num level 3	num level 3	OUT
OUT_grade 3	grade 3	OUT
OUT_school age	school age	OUT
OUT_year	year	OUT
OUT_infant/ toddler	infant/ toddler	OUT
