stc_label	sentence	category
21_2013-2017_citywide_m	2013-2017 citywide math results - all	Table
OUT_collaborative teachers rating	collaborative teachers rating	OUT
OUT_percent rank 2014	percent rank 2014	OUT
OUT_ecers- r language reasoning score	ecers- r language reasoning score	OUT
OUT_quality review - how effective is the teaching and learning?	quality review - how effective is the teaching and learning?	OUT
OUT_ecers- r program structure score	ecers- r program structure score	OUT
IN_mean scale score	mean scale score	IN
IN_level1 n	level1 n	IN
IN_level4 n	level4 n	IN
IN_level3 n	level3 n	IN
OUT_pct of graduates achieving apm	pct of graduates achieving apm	OUT
OUT_teacher response rate	teacher response rate	OUT
IN_level3+4 n	level3+4 n	IN
IN_level2 n	level2 n	IN
OUT_grade 4	grade 4	OUT
OUT_grade 6	grade 6	OUT
OUT_quality review year	quality review year	OUT
OUT_total enrolled students	total enrolled students	OUT
OUT_total enrolled students	total enrolled students	OUT
OUT_qr high expectations	qr high expectations	OUT
OUT_school type	school type	OUT
OUT_school name	school name	OUT
OUT_school name	school name	OUT
IN_number tested	number tested	IN
OUT_school year	school year	OUT
OUT_school year	school year	OUT
OUT_enrollment	enrollment	OUT
IN_year	year	IN
IN_category	category	IN
OUT_total	total	OUT
OUT_dual language	dual language	OUT
OUT_location name	location name	OUT
OUT_college career rate boro	college career rate boro	OUT
OUT_retirement	retirement	OUT
OUT_life insurance	life insurance	OUT
OUT_state operating cost per student	state operating cost per student	OUT
OUT_staff completing training	staff completing training	OUT
OUT_sam #	sam #	OUT
OUT_school2 grades	school2 grades	OUT
IN_grade	grade	IN
OUT_leaders and specialists	leaders and specialists	OUT
OUT_state head start # of funded spaces	state head start # of funded spaces	OUT
OUT_link to school's my schools page	link to school's my schools page	OUT
OUT_network nam	network nam	OUT
OUT_town code	town code	OUT
OUT_neighbor 9	neighbor 9	OUT
OUT_counties	counties	OUT
OUT_ontrack year1 historic avg similar schls	ontrack year1 historic avg similar schls	OUT
OUT_geographic unit	geographic unit	OUT
OUT_description	description	OUT
OUT_the geom	the geom	OUT
OUT_program type	program type	OUT
OUT_program code	program code	OUT
OUT_language	language	OUT
OUT_suu	suu	OUT
OUT_county	county	OUT
OUT_rec'd svcs	rec'd svcs	OUT
OUT_district	district	OUT
OUT_service category	service category	OUT
OUT_school	school	OUT
OUT_school district	school district	OUT
