stc_label	sentence	category
39_oil_&_gas_field_list	oil & gas field list utah 2015	Table
OUT_total sup	total sup	OUT
OUT_ins seco use	ins seco use	OUT
OUT_organics mt	organics mt	OUT
OUT_county fips code	county fips code	OUT
OUT_plant use	plant use	OUT
OUT_shape are	shape are	OUT
OUT_com sec gpcd	com sec gpcd	OUT
OUT_mitigation test type	mitigation test type	OUT
OUT_program location	program location	OUT
OUT_region	region	OUT
OUT_native american	native american	OUT
OUT_measure value	measure value	OUT
OUT_location	location	OUT
OUT_acct num	acct num	OUT
OUT_year / month	year / month	OUT
OUT_residential & commercial	residential & commercial	OUT
OUT_kind of tree	kind of tree	OUT
OUT_fee	fee	OUT
OUT_ind sales	ind sales	OUT
OUT_the geom	the geom	OUT
OUT_# of students	# of students	OUT
OUT_other industrial	other industrial	OUT
OUT_system cost	system cost	OUT
OUT_utility number	utility number	OUT
IN_date	date	IN
OUT_attendees	attendees	OUT
OUT_trans sales	trans sales	OUT
OUT_value of coal produced mill nom dollars	value of coal produced mill nom dollars	OUT
OUT_total use	total use	OUT
OUT_garbage	garbage	OUT
OUT_service units	service units	OUT
OUT_industrial	industrial	OUT
OUT_electric utilities	electric utilities	OUT
OUT_res sales	res sales	OUT
OUT_value of crude oil real dollars	value of crude oil real dollars	OUT
OUT_transportation	transportation	OUT
OUT_value of coal produced million real dollars	value of coal produced million real dollars	OUT
OUT_federal	federal	OUT
OUT_pipeline fuel	pipeline fuel	OUT
OUT_total consumption	total consumption	OUT
IN_status	status	IN
OUT_year	year	OUT
OUT_vehicle fuel	vehicle fuel	OUT
OUT_value of crude oil nominal dollars	value of crude oil nominal dollars	OUT
OUT_petroleum products	petroleum products	OUT
OUT_commercial	commercial	OUT
OUT_other biomass	other biomass	OUT
OUT_coke plants	coke plants	OUT
OUT_vehicle fuel deliveries	vehicle fuel deliveries	OUT
OUT_total funds	total funds	OUT
OUT_sego	sego	OUT
OUT_total	total	OUT
OUT_electric power	electric power	OUT
OUT_audience	audience	OUT
OUT_population	population	OUT
OUT_coal	coal	OUT
OUT_15	15	OUT
OUT_residential deliveries	residential deliveries	OUT
OUT_overseas exports	overseas exports	OUT
IN_prod form 2	prod form 2	IN
OUT_propane receipts	propane receipts	OUT
OUT_total deliveries to consumers	total deliveries to consumers	OUT
OUT_18	18	OUT
OUT_gross withdrawals	gross withdrawals	OUT
IN_prod form 1	prod form 1	IN
OUT_solar	solar	OUT
OUT_gasoline receipts	gasoline receipts	OUT
IN_prod form 4	prod form 4	IN
OUT_condensate beginning stocks	condensate beginning stocks	OUT
IN_prod form 3	prod form 3	IN
OUT_season	season	OUT
OUT_quantity	quantity	OUT
OUT_other receipts	other receipts	OUT
OUT_others	others	OUT
OUT_gasoline production	gasoline production	OUT
OUT_iso- butane beginning stocks	iso- butane beginning stocks	OUT
OUT_condensate ending stocks	condensate ending stocks	OUT
OUT_propane beginning stocks	propane beginning stocks	OUT
OUT_emery	emery	OUT
OUT_company	company	OUT
OUT_marketed production	marketed production	OUT
OUT_butane ending stocks	butane ending stocks	OUT
OUT_23	23	OUT
OUT_other beginning stocks	other beginning stocks	OUT
OUT_% of total	% of total	OUT
OUT_condensate production	condensate production	OUT
OUT_production	production	OUT
OUT_29	29	OUT
OUT_mitigation year ended	mitigation year ended	OUT
OUT_coalfield	coalfield	OUT
OUT_operator	operator	OUT
OUT_2002 production	2002 production	OUT
OUT_percent of total state cumulative production	percent of total state cumulative production	OUT
OUT_2008 gross production	2008 gross production	OUT
OUT_percent of state production	percent of state production	OUT
OUT_2009 production	2009 production	OUT
OUT_rank	rank	OUT
OUT_2010 gross production	2010 gross production	OUT
OUT_percent of cumulative production	percent of cumulative production	OUT
OUT_colorado pipeline only	colorado pipeline only	OUT
OUT_% total estimated recoverable reserves	% total estimated recoverable reserves	OUT
OUT_ind sec gpcd	ind sec gpcd	OUT
OUT_total estimated recoverable reserves	total estimated recoverable reserves	OUT
OUT_1986	1986	OUT
OUT_coalville	coalville	OUT
OUT_2003	2003	OUT
OUT_1991	1991	OUT
OUT_1994	1994	OUT
OUT_2000	2000	OUT
OUT_2004	2004	OUT
OUT_% total recoverable reserves at producing mines	% total recoverable reserves at producing mines	OUT
OUT_2006	2006	OUT
OUT_neral ownership % federal	neral ownership % federal	OUT
OUT_total recoverable reserves at producing mines	total recoverable reserves at producing mines	OUT
OUT_2002 rank	2002 rank	OUT
OUT_surface ownership % federal	surface ownership % federal	OUT
OUT_underground recoverable reserves at producing mines	underground recoverable reserves at producing mines	OUT
OUT_% total demonstrated reserve base	% total demonstrated reserve base	OUT
